TreeNo,height,log.BL,log.PL,log.BW,log.TLIW,log.TLL,log.TLDW,log.TEL,log.BLL,log.LLL,log.BSR,log.LSR,log.LLDW,log.LLIW,log.MidVeinD,log.BL_PL,Tufts,Lobe.number,PC1,PC2,PC3,PC4,PC5,PC6
SH-QS21,15.0,2.50957294251981,1.21897813503248,2.55127643766388,0.604464300113703,1.08996982022659,0.663740533372234,0.229717318283301,1.1406824884959,1.31967115092729,1.02782870767463,2.23105553369048,0.63707031046418,1.14665339712725,1.70644881555194,2.75260311699166,2.0,7.666666667,-9.519253084,-3.355812443,5.016272318,2.118299968,0.090477925,0.031472936
SH-QS27,16.0,2.68350725044527,1.24320645672243,2.53072397484369,1.19282964792516,1.39309745227902,1.22914848851112,0.580728566692276,0.871457520670132,1.44609905512266,0.83922940130921,2.39979025346057,1.12421022401307,1.25092237650184,2.03122693418963,2.89608033293238,2.0,8.333333333,-13.09526795,-4.699555168,6.817539223,2.718052471,0.691474817,-0.497408516
SH-QS6,22.0,2.57447437015699,1.43316263630993,2.48471696429885,1.09165701842309,1.39064301823949,1.43150589247158,0.386849829953922,0.699626408455931,1.66283691196764,0.944225135105364,2.25857129853299,1.37966162935647,1.46160349694475,1.88018424668815,2.85165129031031,2.0,6.666666667,-12.56181478,-4.715214822,8.92209869,3.900931926,0.746548808,0.615628167
SH-QS6,22.0,2.57447437015699,1.43316263630993,2.48471696429885,1.09165701842309,1.39064301823949,1.43150589247158,0.386849829953922,0.699626408455931,1.66283691196764,0.944225135105364,2.25857129853299,1.37966162935647,1.46160349694475,1.88018424668815,2.85165129031031,2.0,6.666666667,-12.56181478,-4.715214822,8.92209869,3.900931926,0.746548808,0.615628167
SH-QS8,16.0,2.25129817048093,1.09322271999998,2.19665639017068,0.76331821287612,1.34015378548853,1.24272612172838,0.417770652047182,-0.305769641381707,1.36898819991249,0.527655532202675,1.7601014983245,1.04164981445427,1.03584105367113,1.50617915763982,2.52444264336339,2.0,5.0,-11.78550491,-3.733215497,6.319262015,2.551627499,-0.594206871,0.45218879
T-QR15,16.0,3.1967278999022,1.22882084912878,2.97354827467192,1.87438148224716,2.00501955709476,2.05081984120749,1.25315223957669,0.536857322989281,1.95312426080648,1.38921420023779,2.8740115764118,1.23881368809106,1.79148782783687,2.45178186273187,3.32753599567142,1e-10,10.33333333,19.45343799,-1.985081988,0.664951116,0.326660087,-0.431973051,-0.247015205
T-QR16,20.0,3.04039045760105,1.26266627900689,2.79725784796897,1.68214974438034,1.77811474932238,1.70995867246562,0.752173111032447,0.103336112936675,1.84320579948835,1.45801106756463,2.73143181161535,1.29451138239664,1.83228835855718,2.26433277236533,3.19655828000022,1e-10,8.0,18.93312685,-1.268883874,0.473618817,-0.077190945,0.359834907,1.042501806
T-QR23,18.0,2.94404429392004,1.41370448694853,2.80674313294392,1.82673284507271,1.92350456514499,1.95684332137257,0.974702505264101,0.424836684345249,1.78165358688238,1.45225852219038,2.56682699743795,1.41255821817111,1.67809913685224,2.22339887055729,3.13999102099857,1e-10,8.666666667,18.73911366,-1.750993594,1.218620985,0.431877693,-0.124338629,-0.0353405
T-QR5,18.0,2.93974983598282,1.02836552030952,2.72785426303788,1.67580132338441,1.63597116542076,1.80228231520606,0.573713304766505,0.0931134323568518,1.59931526790578,1.14569303229295,2.66268606708346,1.13879407189684,1.62036921089207,2.14280795135839,3.07766271203434,1e-10,9.666666667,18.27075694,-2.08461635,0.958686091,0.039741614,-0.27562859,0.076702683
T-QR6,16.0,2.91189986301917,1.46426767630779,2.65471084021062,1.62464518252551,1.9026328789721,1.7564813603597,1.16267595551773,1.14163494603264,1.63325933979914,1.73861763348057,2.53130961686843,0.594532457461737,1.65286715613239,2.07211622481452,3.12307314720671,1.333333333,7.333333333,9.834992166,-1.037564548,2.296427925,-5.180513293,0.58613251,-0.613857186
T-QR8,20.0,2.68525383997342,1.00181867505305,2.50980975567026,1.41805936673901,1.42532029953657,1.17688784292231,0.397383324965219,0.22952781566009,1.39337692196746,1.23557297233856,2.42087185864606,0.751485210351567,1.38606398058433,1.99393214901045,2.85561654770484,2.0,8.0,18.66302739,-1.834766809,1.333894691,-2.381647858,-0.468503151,0.214692651
QA-K3,3.0,2.44268522426385,1.31211950838356,2.60932011621653,1.53674930426043,1.48293824818661,1.51726662897617,0.753600971314997,0.499439468830595,1.55461312925291,0.942570622608383,2.00128606140521,1.63163784839803,1.41857751738325,1.92489627580541,2.72247414999152,2.0,5.666666667,-10.98878604,-2.362335408,-1.949956317,1.839150443,-0.76704499,0.361795744
QR-K8,8.0,2.92169767532372,1.46817074865138,2.84430556434781,1.64693081069763,1.99009317296014,1.7082493956972,0.963864243459993,1.47629055371626,1.77568162255557,1.41661408155673,2.52606058441004,1.49552860173279,1.5774912435569,2.15902946068345,3.13175147495192,1e-10,6.333333333,22.53518124,-1.906877387,-2.259863628,8.68655943,0.91862581,0.039352006
QS-K1,5.0,2.61155499663343,1.07598667126224,2.46533817242659,1.59033866526411,1.48077149244475,1.78795357532641,0.796697572281485,0.41810261470738,1.33747449869697,0.750121229489062,2.28998773552606,1.48559774020827,1.39774433130812,1.83181690899079,2.80657333746559,0.333333333,6.333333333,-11.65258674,-2.754838751,-1.05788559,1.177014286,-0.850270394,1.173741088
QS-K10,20.0,2.53866876504449,1.72662536738973,2.55211705763008,0.89552572527153,1.4605571177046,1.27221837669444,0.559517637976016,1.38746796193097,1.55246811736922,1.35004895873644,2.14413923397713,1.32021559200918,1.34807273531259,1.82553557084076,2.90605115944006,2.0,5.666666667,-12.00711884,-2.634677641,0.320198437,1.553956925,-0.324641785,1.024444192
QS-K3,7.0,2.45909491300336,0.842045517380057,2.60223242239705,1.69920646245974,1.52711600811407,1.82801617996033,0.870387442748177,1.41691312131039,1.34132873213323,1.3825157007163,2.00568629565709,1.43957422837675,1.32144694081122,1.78212011675443,2.64015190606212,1.0,5.0,-3.12037425,-0.741657104,-1.072267009,0.035047257,-0.151619263,0.161254203
QS-K7,17.0,2.76589308201149,1.73540268294004,2.68116027593776,1.65338646326732,1.48346273091934,1.52413975264943,0.680706876865759,1.27069154084704,1.6309258799228,1.39605574565848,2.50180234854213,1.83767814573117,1.8079171544334,2.0917824167406,3.07104559961958,2.0,6.0,-5.984694517,-0.758557842,-1.229197331,0.598320286,-0.575459606,0.195584667
QS-K8,15.0,2.76653573859054,1.38840058048182,2.6831518620516,1.65703648656107,1.426176491306,1.38627792323479,0.713563375467367,0.991068347366721,1.45914150803527,1.32326522242464,2.53813310113133,1.43668451129546,1.68839449023592,2.0486935537134,2.99131646470518,1.333333333,6.333333333,-9.12081072,-1.974119506,0.663090677,1.847180331,-0.016263385,-0.711482642
QS-K9,20.0,2.57490920312092,1.25187364344876,2.5440240139091,0.973064055376336,0.984192029784719,0.835712305128778,0.281049522641197,0.866269120765085,0.849425830223966,1.05311886701636,2.37885640002199,0.33395803222792,0.997777910136018,1.72886226208633,2.81102870281607,1.666666667,5.0,-7.63567427,-2.050761891,1.07906096,1.872558756,-0.147628059,0.339700214
